round,f1_output,f2_output,f3_output,f4_output,f5_output,f6_output,f7_output,f8_output,f1_best_so_far,f2_best_so_far,f3_best_so_far,f4_best_so_far,f5_best_so_far,f6_best_so_far,f7_best_so_far,f8_best_so_far
1,7.709397204501192e-16,0.7727107139910914,-0.04800914734017754,-4.02555701687789,1088.8581918803375,-0.7627002611829453,1.3649700705707237,9.598482138169,7.709397204501192e-16,0.7727107139910914,-0.04800914734017754,-4.02555701687789,1088.8581918803375,-0.7627002611829453,1.3649700705707237,9.598482138169
2,-9.466108951550023e-47,0.11120196360256557,-0.03615260496435178,-17.617863118863827,562.5378613586942,-1.4228176522987661,2.3883329628950642,9.8837642812845,7.709397204501192e-16,0.7727107139910914,-0.03615260496435178,-4.02555701687789,1088.8581918803375,-0.7627002611829453,2.3883329628950642,9.8837642812845
3,6.672542043616142e-27,0.5059874836725666,-0.06687807736054596,-0.23485421590618172,219.7866879728416,-0.7406139043619802,0.5400480882773391,9.677270542198,7.709397204501192e-16,0.7727107139910914,-0.03615260496435178,-0.23485421590618172,1088.8581918803375,-0.7406139043619802,2.3883329628950642,9.8837642812845
4,-2.5712589918917585e-27,0.8971394799451327,-0.08636302428970033,-2.2297569426921515,254.14362057650544,-0.6210862407716374,0.5999400103807379,9.7069525,7.709397204501192e-16,0.8971394799451327,-0.03615260496435178,-0.23485421590618172,1088.8581918803375,-0.6210862407716374,2.3883329628950642,9.8837642812845
5,-4.671882750272528e-19,0.5071160602728921,-0.0773046673184144,-2.7769039130165,296.03867267620694,-0.6976156201970247,0.47177627129762767,9.6922021,7.709397204501192e-16,0.8971394799451327,-0.03615260496435178,-0.23485421590618172,1088.8581918803375,-0.6210862407716374,2.3883329628950642,9.8837642812845
6,-3.081798238164782e-17,0.2699171116983926,-0.06835242549256268,-2.5285549648911103,323.4879426160927,-0.6790590513815997,0.4381155961724125,9.6959939,7.709397204501192e-16,0.8971394799451327,-0.03615260496435178,-0.23485421590618172,1088.8581918803375,-0.6210862407716374,2.3883329628950642,9.8837642812845
7,-1.3277944743850168e-17,0.48454890473723233,-0.06373612894252552,-2.2988134991839924,344.751003203919,-0.6909782589709978,0.4000831403645294,9.6980530257521,7.709397204501192e-16,0.8971394799451327,-0.03615260496435178,-0.23485421590618172,1088.8581918803375,-0.6210862407716374,2.3883329628950642,9.8837642812845
8,-3.550646550715641e-18,0.5924393954591114,-0.06250782440144832,-2.4784879060041685,379.60852654305427,-0.7281179422886639,0.3670641676817301,9.6974628611624,7.709397204501192e-16,0.8971394799451327,-0.03615260496435178,-0.23485421590618172,1088.8581918803375,-0.6210862407716374,2.3883329628950642,9.8837642812845
9,-1.3563936763425544e-18,0.5719786634076877,-0.0814161462903903,-2.694301631758694,414.40438503491424,-0.8616793275263203,0.33371536234232313,9.699397999,7.709397204501192e-16,0.8971394799451327,-0.03615260496435178,-0.23485421590618172,1088.8581918803375,-0.6210862407716374,2.3883329628950642,9.8837642812845
10,-4.602546586794821e-19,0.503607043361691,-0.04760295607640323,-2.820774623484016,444.9955860687969,-0.7735192609658463,0.31683502478265047,9.700774964,7.709397204501192e-16,0.8971394799451327,-0.03615260496435178,-0.23485421590618172,1088.8581918803375,-0.6210862407716374,2.3883329628950642,9.8837642812845
11,-3.4776743499445186e-19,0.7366665030033601,-0.052755978857083566,-2.874526904837214,456.64662634642883,-0.7289174689585951,0.31294507440930497,9.701050734,7.709397204501192e-16,0.8971394799451327,-0.03615260496435178,-0.23485421590618172,1088.8581918803375,-0.6210862407716374,2.3883329628950642,9.8837642812845
12,-7.820178929464719e-20,0.6404130997409649,-0.057347173046163845,-2.783128733117358,467.5229354885719,-0.7308974929567414,0.31246623906534,9.6996421476724,7.709397204501192e-16,0.8971394799451327,-0.03615260496435178,-0.23485421590618172,1088.8581918803375,-0.6210862407716374,2.3883329628950642,9.8837642812845
13,3.087663015029281e-16,0.5555659744358163,-0.05118797485323867,-4.078274703624533,1100.7146575858378,-0.7529116003090719,1.3542852602291635,9.596403851,7.709397204501192e-16,0.8971394799451327,-0.03615260496435178,-0.23485421590618172,1100.7146575858378,-0.6210862407716374,2.3883329628950642,9.8837642812845
